id,region,payment_method,annual_income,experience_level,project_count,skill,gender
71,Western Europe,bank_transfer,14903,beginner,16,Cybersecurity,female
72,Africa,paypal,74493,expert,152,Web Development,non-binary
73,East Asia,bank_transfer,58185,expert,159,AR/VR,prefer not to say
74,Eastern Europe,paypal,7498,beginner,27,Mobile Development,non-binary
75,South Asia,bank_transfer,10082,beginner,9,Blockchain,male
76,North America,cryptocurrency,13835,beginner,27,Web Development,male
77,Latin America,paypal,68027,expert,197,AI Development,prefer not to say
78,Eastern Europe,bank_transfer,34751,intermediate,76,Cybersecurity,non-binary
79,East Asia,bank_transfer,7988,beginner,10,Cybersecurity,non-binary
80,Latin America,cryptocurrency,39363,expert,250,Cybersecurity,prefer not to say
81,Western Europe,bank_transfer,68469,expert,152,Blockchain,male
82,Oceania,stripe,63070,expert,132,Mobile Development,prefer not to say
83,Western Europe,paypal,18184,intermediate,62,Data Science,female
84,Eastern Europe,stripe,23030,intermediate,83,AR/VR,female
85,North America,cryptocurrency,22020,intermediate,38,Web Development,female
86,East Asia,bank_transfer,8542,beginner,7,AR/VR,male
87,Oceania,stripe,28681,intermediate,51,Cybersecurity,prefer not to say
88,Africa,bank_transfer,8819,beginner,20,Graphic Design,male
89,Western Europe,cryptocurrency,21926,intermediate,33,AR/VR,male
90,South Asia,stripe,26543,intermediate,62,Graphic Design,prefer not to say
91,Western Europe,stripe,20852,intermediate,62,Cybersecurity,non-binary
92,Africa,paypal,40814,expert,137,Blockchain,non-binary
93,East Asia,cryptocurrency,24179,intermediate,77,Mobile Development,non-binary
94,South Asia,stripe,28182,intermediate,98,Blockchain,male
95,East Asia,bank_transfer,13928,beginner,15,Web Development,non-binary
96,Eastern Europe,stripe,29196,intermediate,36,Graphic Design,male
97,Eastern Europe,cryptocurrency,33977,intermediate,68,Graphic Design,female
98,Latin America,stripe,37775,expert,107,Data Science,prefer not to say
99,East Asia,bank_transfer,13755,beginner,1,Graphic Design,prefer not to say
100,Oceania,paypal,69439,expert,227,Blockchain,non-binary
